YEAR,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION,HWY (L/100 km),COMB (L/100 km),COMB (mpg),EMISSIONS
2003.0,FORD,EXPLORER SPORT TRAC 4X4,PICKUP TRUCK - STANDARD,4.0,6.0,A5,X,15.4,10.7,13.3,21.0,306.0
2000.0,DAEWOO,LANOS,SUBCOMPACT,1.5,4.0,A4,X,9.9,5.9,8.1,35.0,186.0
2018.0,Honda,Civic Sedan,Mid-size,2.0,4.0,AV,X,7.8,6.0,7.0,40.0,163.0
2008.0,SAAB,9-3 CONVERTIBLE TURBO,SUBCOMPACT,2.8,6.0,AS6,Z,14.5,8.3,11.7,24.0,269.0
2005.0,HYUNDAI,TUCSON AWD,SUV,2.7,6.0,A4,X,12.3,8.8,10.7,26.0,246.0
2013.0,NISSAN,FRONTIER 4WD,PICKUP TRUCK - SMALL,4.0,6.0,M6,X,13.2,9.3,11.4,25.0,262.0
2016.0,KIA,K900,FULL-SIZE,5.0,8.0,AS8,X,15.6,10.6,13.4,21.0,318.0
2003.0,PONTIAC,GRAND AM,COMPACT,3.4,6.0,A4,X,11.0,6.7,9.1,31.0,209.0
2007.0,FORD,FREESTAR WAGON,MINIVAN,4.2,6.0,A4,X,14.0,9.5,12.0,24.0,276.0
2011.0,GMC,YUKON,SUV,5.3,8.0,A6,X,14.4,9.5,12.2,23.0,281.0
2019.0,Ford,F-150 FFV 4X4 (LT Tire Pkg),Pickup truck: Standard,3.3,6.0,AS6,E,17.5,13.7,15.8,18.0,263.0
2004.0,CHEVROLET,C1500 AVALANCHE,PICKUP TRUCK - STANDARD,5.3,8.0,A4,X,16.2,12.0,14.3,20.0,329.0
2005.0,DODGE,DAKOTA #,PICKUP TRUCK - STANDARD,4.7,8.0,A5,X,16.3,11.1,14.0,20.0,322.0
2008.0,PORSCHE,911 TURBO CABRIOLET,MINICOMPACT,3.6,6.0,M6,Z,13.6,8.4,11.3,25.0,260.0
